firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Draymond,Green,Golden State Warriors,24,79,230,2.0,398,111,356,31.2,1003,39.7,72.1,190,3817,5.7,187,55,165,33.3,459,40.7,66.7,82,1797,0.09326696358396648,0.09181969949916527,20149.742105263158,10058.817073170732,27.79826851599565
Gerald,Green,Phoenix Suns,28,80,210,7.0,1418,508,1360,37.4,3319,42.7,82.2,385,7770,10.2,448,204,510,40.0,1006,44.5,84.8,82,2330,0.17503217503217502,0.21888412017167386,66983.45454545454,28585.121951219513,38.918322491891686
Jeff,Green,Boston Celtics,28,81,235,6.0,2693,535,1564,34.2,6096,44.2,78.7,506,16592,14.5,482,135,396,34.1,1171,41.2,79.5,82,2805,0.0942622950819672,0.1411764705882353,199890.97233201578,40056.76829268293,31.483235320900633
Willie,Green,Orlando Magic,33,75,205,11.0,2332,482,1407,34.3,5485,42.5,76.4,700,14159,8.3,102,41,121,33.9,271,37.6,82.4,55,869,0.09937142453563104,0.13924050632911392,110945.87857142855,4281.8,31.28839604940445
Blake,Griffin,Los Angeles Clippers,25,82,251,4.0,2824,33,127,26.0,5389,52.4,64.9,339,12060,21.5,718,12,44,27.3,1359,52.8,71.5,80,2863,0.010530679933665008,0.015368494586098496,191714.8672566372,48635.2125,18.142194217750344
Jorge,Gutierrez,Philadelphia 76ers,26,75,195,1.0,32,3,13,23.1,68,47.1,73.3,25,288,3.1,25,3,12,25.0,54,46.3,75.0,15,244,0.04513888888888889,0.049180327868852465,783.36,878.4,17.593520932610865
Jordan,Hamilton,Utah Jazz,23,79,220,3.0,279,114,318,35.8,688,40.6,67.1,126,1674,5.8,147,70,198,35.4,376,39.1,78.4,60,1020,0.1899641577060932,0.19411764705882356,9140.57142857143,6392.0,37.354430100570546
Justin,Hamilton,Miami Heat,24,84,255,1.0,31,7,24,29.2,73,42.5,90.0,25,318,3.1,9,3,9,33.3,20,45.0,100.0,8,72,0.07547169811320754,0.125,928.56,180.0,24.693949445341044
Tyler,Hansbrough,Toronto Raptors,29,81,250,5.0,847,0,15,0.0,1964,43.1,74.9,334,6162,7.7,93,0,2,0.0,196,47.4,68.1,64,978,0.00243427458617332,0.002044989775051125,36234.03592814371,2995.125,2.558407381541598
Tim,Hardaway Jr.,New York Knicks,22,78,210,1.0,416,178,502,35.5,995,41.8,84.8,113,2574,10.4,294,130,358,36.3,687,42.8,82.8,81,1875,0.19502719502719504,0.19093333333333332,22664.867256637168,15902.777777777776,41.34882232161985
James,Harden,Houston Rockets,25,77,225,5.0,2200,740,2024,36.6,4963,44.3,85.3,399,12690,18.6,549,177,483,36.6,1205,45.6,86.6,73,2777,0.1594956658786446,0.17392870003601008,157845.7894736842,45839.520547945205,40.198049912121554
Maurice,Harkless,Orlando Magic,21,81,215,2.0,509,95,293,32.4,1103,46.1,58.6,172,4184,7.4,224,59,154,38.3,483,46.4,59.4,80,1950,0.07002868068833652,0.07897435897435898,26831.116279069767,11773.125,27.07386645065369
Josh,Harrellson,Detroit Pistons,24,82,275,3.0,105,33,95,34.7,240,43.8,62.9,75,888,3.5,38,12,31,38.7,82,46.3,71.4,32,317,0.106981981981982,0.09779179810725552,2841.600000000001,812.3125,25.53094965980992
Al,Harrington,Washington Wizards,34,81,245,16.0,5028,977,2778,35.2,11318,44.4,72.7,981,28009,13.5,82,34,100,34.0,207,39.6,77.1,34,511,0.09918240565532507,0.19569471624266144,323145.62895005103,3111.0882352941176,32.69858535889189
Devin,Harris,Dallas Mavericks,31,75,192,10.0,2730,527,1634,32.3,6232,43.8,79.7,670,18189,12.3,96,31,101,30.7,254,37.8,80.0,40,818,0.08983451536643026,0.1234718826405868,169184.84776119402,5194.299999999998,31.99176393045031
Manny,Harris,Los Angeles Lakers,25,77,185,2.0,196,53,148,35.8,509,38.5,74.4,89,1569,6.4,28,7,20,35.0,70,40.0,83.3,9,180,0.09432759719566602,0.1111111111111111,8973.269662921348,1400.0,30.41052926994043
Mike,Harris,Utah Jazz,31,78,242,3.0,70,0,5,0.0,151,46.4,78.2,54,496,3.4,29,0,2,0.0,61,47.5,96.3,20,225,0.010080645161290322,0.008888888888888889,1386.962962962963,686.25,0.0
Tobias,Harris,Orlando Magic,22,81,235,3.0,860,109,351,31.1,1855,46.4,79.1,189,4728,12.1,332,32,126,25.4,716,46.4,80.7,61,1850,0.07423857868020305,0.0681081081081081,46404.444444444445,21714.754098360656,29.60503968015113
Udonis,Haslem,Miami Heat,34,80,235,11.0,2521,0,13,0.0,5102,49.4,75.8,738,20332,8.4,74,0,0,0.0,146,50.7,56.8,46,653,0.0006393861892583121,0.0,140560.7913279133,2072.5652173913045,4.612922263290398
