firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Kelly,Olynyk,Boston Celtics,23,84,238,1.0,363,68,188,36.2,751,48.3,76.4,98,2121,9.6,234,40,114,35.1,502,46.6,81.1,70,1400,0.08863743517208864,0.08142857142857142,16253.785714285714,10040.0,30.18367581288131
Arinze,Onuaku,Indiana Pacers,27,81,275,1.0,1,0,0,0.0,5,20.0,50.0,5,30,0.6,1,0,0,0.0,5,20.0,50.0,5,30,0.0,0.0,30.0,30.0,0.0
Daniel,Orton,Washington Wizards,23,82,256,3.0,50,0,1,0.0,103,48.5,59.7,51,541,2.8,21,0,0,0.0,47,44.7,76.7,22,251,0.0018484288354898336,0.0,1092.6078431372548,536.2272727272727,1.0037175855439278
Travis,Outlaw,New York Knicks,30,81,220,11.0,1994,344,1021,33.7,4713,42.3,74.4,622,13026,8.5,130,41,117,35.0,326,39.9,80.8,63,1065,0.07838169814217719,0.10985915492957747,98700.22186495176,5510.952380952382,29.74920989774779
Zaza,Pachulia,Milwaukee Bucks,30,83,270,11.0,1828,0,20,0.0,3962,46.1,74.1,770,16002,6.9,149,0,1,0.0,349,42.7,84.6,53,1325,0.001249843769528809,0.0007547169811320754,82337.56363636363,8725.0,6.829331061843552
Jannero,Pargo,Charlotte Hornets,35,73,185,10.0,1228,400,1124,35.6,3140,39.1,86.4,499,7449,6.4,52,24,60,40.0,118,44.1,72.7,29,242,0.15089273728017186,0.2479338842975207,46873.46693386773,984.6896551724136,33.298386759064684
Tony,Parker,San Antonio Spurs,32,74,185,13.0,6502,426,1321,32.2,13130,49.5,75.3,961,31335,17.1,456,25,67,37.3,914,49.9,81.1,68,1997,0.04215733205680549,0.03355032548823235,428125.4422476587,26842.029411764703,30.516819503982653
Chandler,Parsons,Dallas Mavericks,26,81,227,3.0,1343,403,1094,36.8,2861,46.9,70.9,243,8335,14.3,466,130,351,37.0,987,47.2,74.2,74,2783,0.13125374925014996,0.12612288896873874,98133.47736625516,37119.202702702714,32.70477514044099
Patrick,Patterson,Toronto Raptors,25,81,235,4.0,1016,154,391,39.4,2086,48.7,72.8,282,6446,8.4,225,55,151,36.4,489,46.0,70.4,65,1532,0.06065777226186784,0.09856396866840733,47682.113475177306,11525.353846153845,30.286604536492412
Chris,Paul,Los Angeles Clippers,29,72,175,9.0,4240,660,1834,36.0,8970,47.3,85.8,648,23530,18.6,406,78,212,36.8,870,46.7,85.5,62,2171,0.07794305142371441,0.09765085214187012,325716.2037037037,30464.032258064515,35.79485048392237
Metta World,Peace,New York Knicks,35,79,260,14.0,4592,1119,3280,34.1,11021,41.7,71.6,931,30690,13.8,56,17,54,31.5,141,39.7,62.5,29,388,0.1068752036493972,0.13917525773195874,363302.35230934474,1886.4827586206893,30.50873976570498
Nikola,Pekovic,Minnesota Timberwolves,28,83,295,4.0,1194,0,0,0.0,2249,53.1,75.2,237,6014,13.0,379,0,0,0.0,701,54.1,74.7,54,1663,0.0,0.0,57069.5611814346,21588.203703703704,0.05694917040058574
Kendrick,Perkins,Oklahoma City Thunder,30,82,270,11.0,1610,0,13,0.0,3030,53.1,59.9,706,16047,5.7,87,0,1,0.0,193,45.1,55.2,62,1207,0.0008101202717018757,0.0008285004142502071,68870.26912181302,3757.274193548387,3.654104919915441
Paul,Pierce,Washington Wizards,37,79,235,16.0,8325,1973,5335,37.0,18621,44.7,80.7,1205,43215,21.1,321,112,300,37.3,712,45.1,82.6,75,2098,0.1234525049172741,0.14299332697807435,667806.2365145228,19917.013333333336,37.60627361925807
Dexter,Pittman,Atlanta Hawks,25,83,285,4.0,49,0,0,0.0,109,45.0,54.5,50,347,2.3,0,0,0,0.0,1,0.0,0.0,2,3,0.0,0.0,756.46,1.5,0.0
Mason,Plumlee,Brooklyn Nets,24,83,235,1.0,299,0,6,0.0,489,61.1,55.7,99,1871,7.8,199,0,3,0.0,302,65.9,62.6,70,1275,0.003206841261357563,0.002352941176470588,9241.60606060606,5500.714285714284,1.1626197132632048
Miles,Plumlee,Phoenix Suns,26,83,255,2.0,361,0,0,0.0,705,51.2,55.9,125,2697,6.5,286,0,0,0.0,553,51.7,56.1,80,1964,0.0,0.0,15211.08,13576.15,0.0
Quincy,Pondexter,Memphis Grizzlies,26,79,220,4.0,378,126,375,33.6,914,41.4,72.5,229,3698,4.5,31,11,34,32.4,79,39.2,80.8,15,270,0.10140616549486207,0.1259259259259259,14759.70305676856,1422.0,29.261528766151542
Otto,Porter,Washington Wizards,21,80,198,1.0,97,14,48,29.2,225,43.1,73.3,65,850,3.7,33,4,21,19.0,91,36.3,66.7,37,319,0.05647058823529413,0.06583072100313479,2942.3076923076924,784.5675675675676,27.400978283119663
Josh,Powell,Houston Rockets,31,81,240,7.0,498,7,20,35.0,1136,43.8,74.3,316,3966,3.9,2,0,0,0.0,6,33.3,0.0,1,19,0.005042864346949067,0.0,14257.518987341773,114.0,22.1329186701703
Phil,Pressey,Boston Celtics,23,71,175,1.0,96,34,136,25.0,312,30.8,66.1,93,1370,2.8,78,28,106,26.4,253,30.8,64.4,75,1132,0.09927007299270073,0.09363957597173143,4596.129032258064,3818.6133333333337,25.96895174555658
Ronnie,Price,Los Angeles Lakers,31,74,190,9.0,590,163,562,29.0,1574,37.5,73.2,454,5604,3.5,28,9,43,20.9,92,30.4,69.2,31,377,0.10028551034975018,0.11405835543766578,19428.845814977973,1118.8387096774193,27.723781618849927
Pablo,Prigioni,New York Knicks,37,75,185,2.0,242,152,360,42.2,532,45.5,85.5,174,3142,3.9,88,65,140,46.4,191,46.1,91.7,66,1283,0.11457670273711013,0.10911925175370224,9606.574712643678,3712.9242424242425,27.438630994445617
Tayshaun,Prince,Memphis Grizzlies,34,81,215,12.0,4359,546,1486,36.7,9588,45.5,75.7,902,29185,11.9,200,20,69,29.0,492,40.7,56.7,76,1948,0.05091656672948432,0.035420944558521565,310228.1374722838,12610.736842105263,30.94850914460964
Miroslav,Raduljica,Los Angeles Clippers,25,84,250,1.0,68,0,0,0.0,126,54.0,81.8,48,465,3.8,68,0,0,0.0,126,54.0,81.8,48,465,0.0,0.0,1220.625,1220.625,2.836490086503143
Anthony,Randolph,Orlando Magic,25,83,225,6.0,677,20,83,24.1,1494,45.3,74.0,252,3840,7.1,68,18,61,29.5,176,38.6,75.4,43,527,0.021614583333333333,0.1157495256166983,22765.714285714286,2157.0232558139537,18.91710587709614
Shavlik,Randolph,Phoenix Suns,31,82,236,7.0,126,1,5,20.0,275,45.8,54.4,138,1164,2.4,7,0,0,0.0,14,50.0,54.5,14,95,0.00429553264604811,0.0,2319.5652173913045,95.0,7.578662664272976
Zach,Randolph,Memphis Grizzlies,33,81,260,13.0,5924,115,443,26.0,12554,47.2,76.2,871,27823,17.1,560,2,20,10.0,1198,46.7,74.2,79,2705,0.015922078855623047,0.0073937153419593345,401021.7474167624,41020.126582278484,22.24839837927515
Glen Jr.,Rice,Washington Wizards,23,78,206,1.0,14,6,24,25.0,52,26.9,69.2,16,151,2.7,11,5,17,29.4,37,29.7,71.4,11,109,0.15894039735099338,0.1559633027522936,490.75,366.6363636363636,28.394437566449188
Luke,Ridnour,Orlando Magic,33,74,175,11.0,2888,569,1631,34.9,6694,43.1,86.2,800,21211,9.5,126,37,108,34.3,327,38.5,65.4,61,1141,0.07689406440054689,0.09465381244522347,177483.04249999995,6116.508196721312,34.07624011386444
Austin,Rivers,New Orleans Pelicans,22,76,200,2.0,417,78,232,33.6,1064,39.2,63.1,160,3445,7.1,192,36,99,36.4,474,40.5,63.6,69,1339,0.06734397677793905,0.07393577296489919,22909.25,9198.347826086956,28.064236030312106
Andre,Roberson,Oklahoma City Thunder,23,79,210,1.0,75,7,45,15.6,159,47.2,55.0,63,955,2.8,33,2,13,15.4,68,48.5,70.0,40,399,0.04712041884816754,0.03258145363408521,2410.238095238095,678.3,13.734864919063398
Brian,Roberts,Charlotte Hornets,29,73,173,2.0,533,150,403,37.2,1272,41.9,92.1,181,3505,7.9,244,64,178,36.0,581,42.0,94.0,72,1667,0.11497860199714692,0.10677864427114576,24631.823204419892,13451.763888888889,33.902371777708154
Nate,Robinson,Denver Nuggets,30,69,180,9.0,2422,798,2214,36.0,5713,42.4,79.7,600,13610,11.2,164,58,154,37.7,383,42.8,83.5,44,866,0.16267450404114622,0.17782909930715934,129589.88333333332,7538.136363636364,39.508742783785976
Thomas,Robinson,Portland Trail Blazers,23,82,237,2.0,303,0,2,0.0,661,45.8,52.3,156,2120,4.7,141,0,1,0.0,293,48.1,56.4,70,873,0.0009433962264150943,0.001145475372279496,8982.820512820514,3654.128571428572,2.0324273820792014
Rajon,Rondo,Dallas Mavericks,28,73,186,8.0,2427,112,439,25.5,5140,47.2,61.3,531,17479,11.0,141,26,90,28.9,350,40.3,62.7,30,998,0.02511585330968591,0.09018036072144288,169194.0866290019,11643.333333333332,21.05992991223559
Derrick,Rose,Chicago Bulls,26,75,190,5.0,2450,260,843,30.8,5333,45.9,81.4,309,11138,20.6,58,16,47,34.0,164,35.4,84.4,10,311,0.0756868378523972,0.15112540192926044,192229.62459546927,5100.4,29.22279077680351
Terrence,Ross,Toronto Raptors,23,79,195,2.0,643,289,767,37.7,1527,42.1,81.7,184,4244,9.3,318,161,408,39.5,751,42.3,83.7,81,2159,0.18072573044297832,0.1889763779527559,35220.586956521736,20017.395061728395,41.5526636572814
Ricky,Rubio,Minnesota Timberwolves,24,76,192,3.0,599,104,323,32.2,1620,37.0,79.8,185,5877,10.1,255,44,133,33.1,670,38.1,80.2,82,2638,0.05496001361238728,0.05041698256254738,51463.45945945945,21554.390243902442,28.18128457458455
Brandon,Rush,Golden State Warriors,29,78,220,6.0,1033,411,1014,40.5,2384,43.3,71.7,344,8334,7.9,30,16,47,34.0,90,33.3,60.0,38,418,0.1216702663786897,0.1124401913875598,57756.55813953489,990.0,33.74576148330361
Robert,Sacre,Los Angeles Lakers,25,84,270,2.0,215,0,0,0.0,469,45.8,66.4,126,1710,4.1,143,0,0,0.0,300,47.7,68.1,65,1089,0.0,0.0,6365.0,5026.153846153846,0.6928489506594608
John,Salmons,New Orleans Pelicans,35,78,210,12.0,3007,726,1983,36.6,6976,43.1,79.9,892,23647,9.3,150,63,163,38.7,413,36.3,76.9,78,1726,0.08385841755825263,0.09443800695249133,184934.38565022426,9138.948717948715,32.38558774631767
Larry,Sanders,Milwaukee Bucks,26,83,230,4.0,668,0,5,0.0,1391,48.0,55.0,233,4622,6.5,76,0,1,0.0,162,46.9,47.3,23,584,0.001081782778018174,0.0017123287671232876,27593.14163090129,4113.391304347826,1.2783750919827026
Dennis,Schroder,Atlanta Hawks,21,73,168,1.0,166,18,82,22.0,397,41.8,72.5,78,1171,5.5,72,10,42,23.8,188,38.3,67.4,49,641,0.07002561912894961,0.0655226209048362,5960.089743589742,2459.3469387755104,24.95912540234285
Luis,Scola,Indiana Pacers,34,81,240,7.0,3146,8,51,15.7,6299,49.9,74.5,581,15910,13.0,263,1,7,14.3,560,47.0,72.8,82,1399,0.0032055311125078565,0.005003573981415297,172490.68846815833,9554.146341463416,10.285822891768971
Mike,Scott,Atlanta Hawks,26,80,237,2.0,450,89,269,33.1,940,47.9,78.5,148,2261,7.9,301,62,200,31.0,628,47.9,78.0,80,1482,0.11897390535161433,0.1349527665317139,14360.405405405409,11633.7,29.54067129400857
Thabo,Sefolosha,Atlanta Hawks,30,79,222,8.0,1277,334,973,34.3,2903,44.0,74.7,579,13397,5.8,141,48,152,31.6,340,41.5,76.8,61,1584,0.07262820034336047,0.09595959595959597,67170.10535405872,8828.852459016394,29.340873827370114
Kevin,Seraphin,Washington Wizards,25,82,278,4.0,794,0,1,0.0,1623,48.9,70.2,275,4539,6.4,111,0,0,0.0,220,50.5,87.1,53,578,0.00022031284423881909,0.0,26788.35272727273,2399.245283018868,3.086443287869444
Ramon,Sessions,Sacramento Kings,28,75,190,7.0,1908,130,420,31.0,4372,43.6,79.8,492,12486,11.4,330,35,124,28.2,769,42.9,80.7,83,2214,0.03363767419509851,0.05600722673893405,110952.82926829267,20512.84337349397,27.280661695438926
Mustafa,Shakur,Oklahoma City Thunder,30,75,190,2.0,21,1,11,9.1,62,33.9,52.9,25,171,2.1,0,0,1,0.0,3,0.0,50.0,3,11,0.06432748538011697,0.09090909090909093,424.08,11.0,6.543022109430716
Tornike,Shengelia,Chicago Bulls,22,81,220,1.0,23,1,8,12.5,51,45.1,50.0,45,248,1.3,13,0,6,0.0,28,46.4,37.5,26,155,0.03225806451612903,0.03870967741935484,281.06666666666666,166.9230769230769,11.563192406368643
Iman,Shumpert,New York Knicks,24,77,220,3.0,594,198,578,34.3,1508,39.4,76.1,202,5289,7.9,183,76,228,33.3,484,37.8,74.6,74,1962,0.10928341841557952,0.1162079510703364,39484.217821782186,12832.54054054054,32.09841995869396
Alexey,Shved,Houston Rockets,26,78,187,2.0,365,133,451,29.5,1008,36.2,75.4,159,2807,6.9,76,30,102,29.4,237,32.1,75.6,63,664,0.16066975418596366,0.1536144578313253,17795.320754716984,2497.904761904762,32.442012915583476
Henry,Sims,Philadelphia 76ers,24,82,248,2.0,244,4,18,22.2,503,48.5,75.4,77,1553,8.2,130,0,1,0.0,274,47.4,74.4,46,875,0.01159047005795235,0.001142857142857143,10144.922077922078,5211.95652173913,17.399298849268124
Kyle,Singler,Detroit Pistons,26,80,228,2.0,619,205,546,37.5,1422,43.5,82.3,193,5296,8.9,269,94,246,38.2,602,44.7,82.6,82,2337,0.10309667673716012,0.10526315789473684,39020.26943005181,17157.0,31.902907025754377
Chris,Singleton,Indiana Pacers,25,81,228,3.0,233,58,182,31.9,620,37.6,63.3,148,2605,4.1,25,7,19,36.8,67,37.3,72.0,25,250,0.06986564299424185,0.076,10912.837837837838,670.0,23.346967433551537
Peyton,Siva,Orlando Magic,24,72,185,1.0,18,7,25,28.0,57,31.6,73.3,24,224,2.2,18,7,25,28.0,57,31.6,73.3,24,224,0.11160714285714286,0.11160714285714286,532.0,532.0,27.46198565227591
Donald,Sloan,Indiana Pacers,26,75,205,3.0,245,49,174,28.2,639,38.3,75.0,130,2034,4.9,44,10,42,23.8,117,37.6,60.0,48,392,0.0855457227138643,0.10714285714285714,9997.892307692307,955.5,25.208348088462294
Greg,Smith,Dallas Mavericks,23,82,250,3.0,204,0,1,0.0,329,62.0,60.9,107,1395,4.7,18,0,0,0.0,28,64.3,40.0,11,100,0.0007168458781362008,0.0,4289.2990654205605,254.54545454545453,2.1437471512343063
Ish,Smith,Oklahoma City Thunder,26,72,175,4.0,258,16,72,22.2,662,39.0,57.1,207,2290,2.8,119,1,23,4.3,281,42.3,56.4,70,1007,0.0314410480349345,0.02284011916583913,7323.574879227053,4042.385714285714,18.762302715248126
Jason,Smith,New York Knicks,28,84,245,6.0,924,15,59,25.4,1962,47.1,77.5,363,6069,6.1,131,0,0,0.0,282,46.5,78.0,31,830,0.009721535673092769,0.0,32802.694214876035,7550.322580645162,20.25416657643326
Josh,Smith,Houston Rockets,29,81,225,10.0,4709,346,1246,27.8,10319,45.6,63.8,782,26735,15.4,517,70,265,26.4,1233,41.9,53.2,77,2730,0.04660557321862727,0.09706959706959707,352785.76086956525,43715.454545454544,25.807846016581713
Tony,Snell,Chicago Bulls,23,79,200,1.0,142,63,197,32.0,378,37.6,79.2,101,1438,3.8,129,57,178,32.0,336,38.4,75.6,77,1231,0.13699582753824754,0.1445978878960195,5381.821782178218,5371.636363636363,33.69848617623057
James,Southerland,Portland Trail Blazers,24,80,215,1.0,5,3,6,50.0,15,33.3,50.0,4,30,3.5,5,3,6,50.0,15,33.3,50.0,4,30,0.2,0.2,112.5,112.5,40.232255256911856
Marreese,Speights,Golden State Warriors,27,82,255,6.0,1416,14,65,21.5,3003,47.2,77.6,451,7127,7.8,195,8,31,25.8,442,44.1,82.1,79,982,0.00912024694822506,0.03156822810590632,47455.39024390244,5494.227848101265,17.179271590712275
Tiago,Splitter,San Antonio Spurs,29,83,245,4.0,834,0,6,0.0,1482,56.3,68.1,268,5281,8.2,181,0,3,0.0,346,52.3,69.9,59,1271,0.0011361484567316794,0.0023603461841070024,29203.14179104477,7453.661016949153,0.6598526856057422
Lance,Stephenson,Charlotte Hornets,24,77,230,4.0,869,160,520,30.8,1909,45.5,67.6,235,6406,9.2,427,86,244,35.2,870,49.1,71.1,78,2752,0.08117389946924758,0.08866279069767442,52038.52765957447,30695.384615384613,26.381948092345898
Greg,Stiemsma,Toronto Raptors,29,83,260,3.0,268,0,1,0.0,527,50.9,71.5,194,3026,3.3,70,0,1,0.0,122,57.4,59.4,55,1007,0.00033046926635822867,0.0009930486593843098,8220.113402061856,2233.7090909090907,0.0
Julyan,Stone,Toronto Raptors,25,78,200,3.0,22,4,19,21.1,50,44.0,72.2,47,327,1.3,7,2,8,25.0,17,41.2,66.7,21,120,0.0581039755351682,0.06666666666666668,347.87234042553183,97.14285714285714,18.17412600791365
Amar'e,Stoudemire,New York Knicks,32,82,245,12.0,5661,30,125,24.0,10563,53.6,76.1,763,24987,20.2,311,0,0,0.0,558,55.7,73.9,65,1466,0.005002601352703406,0.0,345920.9449541284,12585.046153846153,21.064544879474454
Rodney,Stuckey,Indiana Pacers,28,77,205,7.0,2406,195,672,29.0,5690,42.3,82.5,507,14673,13.4,372,24,88,27.3,853,43.6,83.6,73,1950,0.04579840523410345,0.04512820512820513,164673.31360946747,22785.616438356166,27.117174113718523
Jared,Sullinger,Boston Celtics,22,81,260,2.0,648,90,304,29.6,1459,44.4,75.1,147,3716,11.0,384,56,208,26.9,899,42.7,77.8,74,2041,0.08180839612486544,0.10191082802547773,36881.93197278911,24795.39189189189,26.89607388612892
Jeff,Taylor,Charlotte Hornets,25,79,225,2.0,255,71,224,31.7,624,40.9,66.2,106,2155,6.4,82,18,67,26.9,218,37.6,55.3,26,629,0.10394431554524362,0.10651828298887124,12686.037735849055,5273.923076923077,26.743498777154578
Tyshawn,Taylor,New Orleans Pelicans,23,75,185,1.0,63,9,25,36.0,178,35.4,68.4,61,491,2.9,31,3,12,25.0,91,34.1,80.0,23,270,0.05091649694501019,0.04444444444444445,1432.7540983606555,1068.2608695652173,28.49816729561976
Jeff,Teague,Atlanta Hawks,26,74,181,5.0,1591,265,777,34.1,3540,44.9,83.8,393,9871,11.0,456,74,225,32.9,1040,43.8,84.6,79,2542,0.07871542903454562,0.08851298190401259,88914.35114503816,33464.303797468354,33.47389031752779
Marquis,Teague,Brooklyn Nets,21,74,189,2.0,81,9,41,22.0,232,34.9,68.6,88,834,2.3,38,5,18,27.8,119,31.9,74.3,40,442,0.049160671462829736,0.04072398190045249,2198.7272727272725,1314.95,21.654111725099604
Mirza,Teletovic,Brooklyn Nets,29,81,242,2.0,382,216,588,36.7,931,41.0,72.7,151,2488,7.0,221,136,349,39.0,529,41.8,71.0,72,1396,0.2363344051446945,0.25,15339.920529801324,10256.722222222224,36.318759479942926
Garrett,Temple,Washington Wizards,28,78,195,4.0,248,72,229,31.4,651,38.1,68.2,202,2719,3.4,51,6,29,20.7,141,36.2,69.8,75,638,0.08422214049282825,0.045454545454545456,8762.717821782178,1199.4399999999996,25.962788966140767
Jason,Terry,Houston Rockets,37,74,185,15.0,6490,2003,5276,38.0,14559,44.6,84.6,1162,37591,15.2,55,39,103,37.9,152,36.2,66.7,35,570,0.14035274400787426,0.18070175438596486,470987.40877796896,2475.4285714285706,41.50485147855193
Hasheem,Thabeet,Detroit Pistons,27,87,263,5.0,182,0,0,0.0,321,56.7,57.8,224,2358,2.2,13,0,0,0.0,23,56.5,20.0,23,192,0.0,0.0,3379.098214285714,192.0,0.0
Adonis,Thomas,Indiana Pacers,21,79,240,1.0,6,1,5,20.0,14,42.9,100.0,6,38,2.3,6,1,5,20.0,14,42.9,100.0,6,38,0.13157894736842105,0.13157894736842105,88.66666666666669,88.66666666666669,29.190018189079144
Isaiah,Thomas,Phoenix Suns,25,69,185,3.0,1227,361,1001,36.1,2758,44.5,85.7,239,6843,15.3,496,127,364,34.9,1096,45.3,85.0,72,2497,0.14628087096302791,0.14577492991589908,78966.5020920502,38009.88888888888,38.484094133924174
Lance,Thomas,Oklahoma City Thunder,26,80,225,3.0,157,0,2,0.0,367,42.8,75.9,127,1768,3.4,2,0,0,0.0,9,22.2,50.0,5,42,0.0011312217194570135,0.0,5109.102362204725,75.60000000000002,3.281002222451055
Malcolm,Thomas,Philadelphia 76ers,26,81,225,3.0,22,1,4,25.0,43,51.2,57.1,29,209,1.8,7,1,4,25.0,16,43.8,0.0,8,63,0.019138755980861243,0.06349206349206349,309.896551724138,126.0,13.015190241037377
Hollis,Thompson,Philadelphia 76ers,23,80,206,1.0,240,100,266,37.6,549,43.7,68.6,102,2440,6.4,171,67,167,40.1,372,46.0,71.2,77,1742,0.10901639344262297,0.09586681974741676,13132.941176470591,8415.896103896104,32.26452195283788
Jason,Thompson,Sacramento Kings,28,83,250,6.0,1922,1,27,3.7,3864,49.7,65.7,490,13136,9.6,251,0,0,0.0,496,50.6,57.9,82,2007,0.0020554202192448233,0.0,103586.74285714288,12139.90243902439,6.363145980889496
Klay,Thompson,Golden State Warriors,24,79,215,3.0,1598,626,1517,41.3,3651,43.8,83.4,257,8353,16.6,559,223,535,41.7,1259,44.4,79.5,81,2868,0.1816113971028373,0.1865411436541144,118664.60311284044,44577.92592592593,43.20319459979447
Tristan,Thompson,Cleveland Cavaliers,23,81,238,3.0,1045,0,6,0.0,2187,47.8,63.2,253,7347,10.5,363,0,1,0.0,761,47.7,69.3,82,2594,0.0008166598611678236,0.00038550501156515033,63509.442687747025,24073.585365853658,5.0698774464689595
Marcus,Thornton,Boston Celtics,27,76,205,5.0,1746,584,1610,36.3,4047,43.1,82.7,361,9202,13.1,252,109,316,34.5,639,39.4,80.4,72,1741,0.174961964790263,0.18150488225157954,103159.26315789476,15451.375,39.5616929449469
Jamaal,Tinsley,Utah Jazz,36,75,188,10.0,1759,397,1326,29.9,4481,39.3,71.6,547,14443,8.5,4,1,15,6.7,20,20.0,0.0,8,110,0.09180918091809183,0.13636363636363635,118316.42230347348,275.0,25.79899957388552
Anthony,Tolliver,Detroit Pistons,29,80,240,6.0,661,302,851,35.5,1606,41.2,78.3,331,6413,5.9,129,102,247,41.3,307,42.0,80.5,64,1298,0.1326992047403711,0.19029275808936827,31115.643504531723,6226.34375,30.946967427203884
Ronny,Turiaf,Philadelphia 76ers,31,82,249,9.0,856,0,7,0.0,1607,53.3,63.6,473,8019,4.7,64,0,0,0.0,107,59.8,42.0,31,606,0.0008729267988527247,0.0,27244.255813953492,2091.6774193548385,0.9542628959832749
Hedo,Turkoglu,Los Angeles Clippers,35,82,220,14.0,3791,1200,3135,38.3,8893,42.6,78.5,960,26217,11.3,42,22,50,44.0,109,38.5,50.0,38,392,0.11957889918755005,0.12755102040816327,242862.271875,1124.421052631579,35.98506926640118
Evan,Turner,Boston Celtics,26,79,220,4.0,1463,143,438,32.6,3406,43.0,77.5,334,9519,10.9,434,50,156,32.1,1021,42.5,81.3,81,2457,0.046013236684525685,0.06349206349206349,97071.0,30970.33333333333,26.713150376173303
Jeremy,Tyler,Los Angeles Lakers,22,82,260,3.0,157,0,1,0.0,349,45.0,55.7,104,1034,3.6,60,0,0,0.0,116,51.7,54.2,41,398,0.000967117988394584,0.0,3469.865384615385,1126.0487804878046,1.7464007372358232
Ekpe,Udoh,Los Angeles Clippers,27,82,245,4.0,399,0,3,0.0,936,42.6,72.0,250,4476,4.2,57,0,0,0.0,143,39.9,63.8,42,804,0.0006702412868632707,0.0,16758.144,2737.428571428572,2.6944201173513846
Beno,Udrih,Memphis Grizzlies,32,75,205,10.0,2403,421,1202,35.0,5193,46.3,82.7,698,15946,8.8,78,19,42,45.2,178,43.8,83.3,41,643,0.0753794054935407,0.06531881804043546,118635.49856733525,2791.5609756097565,30.641354187100212
Jonas,Valanciunas,Toronto Raptors,22,84,255,2.0,692,0,1,0.0,1280,54.1,77.7,172,4549,10.7,359,0,1,0.0,676,53.1,76.2,81,2282,0.00021982853374367996,0.0004382120946538125,33853.023255813954,19044.83950617284,6.320927064443239
Anderson,Varejao,Cleveland Cavaliers,32,83,267,10.0,1746,1,41,2.4,3396,51.4,63.0,560,14462,7.9,227,0,7,0.0,459,49.5,68.1,65,1800,0.002835015903747753,0.003888888888888889,87701.7,12710.769230769229,2.0880533060298
Jarvis,Varnado,Philadelphia 76ers,25,82,225,2.0,39,0,0,0.0,67,58.2,51.8,37,398,2.9,36,0,0,0.0,60,60.0,51.9,24,339,0.0,0.0,720.7027027027028,847.5,0.0
Greivis,Vasquez,Toronto Raptors,27,78,200,4.0,1144,297,871,34.1,2701,42.4,82.2,323,7659,9.2,277,109,289,37.7,658,42.1,88.0,79,1779,0.11372241807024415,0.16245081506464307,64046.31269349845,14817.493670886077,32.83711603116099
Jan,Vesely,Denver Nuggets,24,84,242,3.0,263,0,2,0.0,505,52.1,40.8,162,2455,3.6,89,0,0,0.0,173,51.4,33.9,54,776,0.000814663951120163,0.0,7652.932098765432,2486.074074074074,0.0
Charlie,Villanueva,Dallas Mavericks,30,83,232,9.0,2409,606,1751,34.6,5476,44.0,77.6,548,12349,11.3,35,14,56,25.0,92,38.0,57.1,20,180,0.14179285772127298,0.3111111111111111,123399.86131386859,827.9999999999999,35.0444522005023
Nikola,Vucevic,Orlando Magic,24,84,260,3.0,1159,5,13,38.5,2288,50.7,71.5,212,6131,12.2,353,0,0,0.0,696,50.7,76.6,57,1812,0.0021203718806067527,0.0,66168.52830188679,22125.473684210527,27.26595627506842
Sasha,Vujacic,Los Angeles Clippers,29,79,205,7.0,927,458,1234,37.1,2344,39.5,87.0,478,7591,5.6,2,1,2,50.0,5,40.0,0.0,2,10,0.16256092741404293,0.2,37224.48535564853,25.0,38.275833406776684
Dwyane,Wade,Miami Heat,32,76,220,11.0,6487,365,1250,29.2,13165,49.3,76.4,742,27091,24.3,415,9,32,28.1,761,54.5,73.3,54,1775,0.04614078476246724,0.018028169014084508,480664.4407008086,25014.35185185185,25.51440403214114
Dion,Waiters,Cleveland Cavaliers,23,76,225,2.0,881,176,526,33.5,2087,42.2,72.4,159,4483,14.5,430,92,250,36.8,993,43.3,68.5,70,2072,0.11733214365380325,0.12065637065637065,58842.89937106919,29392.8,31.370102314704543
Kemba,Walker,Charlotte Hornets,24,73,184,3.0,1449,331,1024,32.3,3637,39.8,80.8,252,8358,16.2,449,109,327,33.3,1143,39.3,83.7,73,2614,0.12251734864800193,0.1250956388676358,120627.16666666664,40928.79452054795,34.83581621528768
John,Wall,Washington Wizards,24,76,195,4.0,1874,180,581,31.0,4364,42.9,78.7,295,10613,17.7,579,108,308,35.1,1337,43.3,80.5,82,2980,0.05474418166399698,0.10335570469798658,157000.44745762713,48588.53658536585,28.517237771293036
Gerald,Wallace,Boston Celtics,32,79,220,13.0,3504,406,1301,31.2,7465,46.9,71.0,813,24540,12.2,116,19,64,29.7,230,50.4,46.5,58,1416,0.05301548492257538,0.04519774011299435,225327.30627306274,5615.172413793103,27.24769132890782
Casper,Ware,Brooklyn Nets,24,70,175,1.0,18,7,21,33.3,42,42.9,83.3,9,116,5.3,18,7,21,33.3,42,42.9,83.3,9,116,0.1810344827586207,0.1810344827586207,541.3333333333334,541.3333333333334,37.25135147490782
Earl,Watson,Portland Trail Blazers,34,73,199,13.0,2112,502,1551,32.4,5139,41.1,70.3,878,19494,6.4,3,2,7,28.6,11,27.3,100.0,24,161,0.07956294244382887,0.043478260869565216,114099.84738041002,73.79166666666666,30.065710218110617
