Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
29,Chandler Parsons,DAL,"$14,700,000","$15,361,500","$16,023,000",,,,Cap Space,"$30,061,500"
30,Tyson Chandler,DAL,"$14,598,888",,,,,,Bird Rights,"$14,598,888"
31,Josh Smith,DET,"$14,000,000","$14,000,000","$14,000,000",,,,,"$42,000,000"
32,DeMarcus Cousins,SAC,"$13,701,250","$14,728,844","$15,756,438","$16,784,031",,,1st Round Pick,"$60,970,563"
33,Al Jefferson,CHO,"$13,666,667","$13,833,333",,,,,Cap Space,"$13,666,667"
34,Carlos Boozer,CHI,"$13,550,000",,,,,,,
35,Nene Hilario,WAS,"$13,000,000","$13,000,000",,,,,Bird Rights,"$26,000,000"
36,Andrew Bogut,GSW,"$12,972,973","$12,000,000","$11,027,027",,,,Bird Rights,"$36,000,000"
37,Rajon Rondo,DAL,"$12,909,091",,,,,,Bird Rights,"$12,909,091"
38,Derrick Favors,UTA,"$12,833,333","$11,933,333","$10,983,333","$11,933,333",,,1st Round Pick,"$46,950,000"
39,Tony Parker,SAS,"$12,500,000","$13,437,500","$14,445,313","$15,453,126",,,Bird Rights,"$55,835,939"
40,Serge Ibaka,OKC,"$12,350,000","$12,350,000","$12,350,000",,,,Bird Rights,"$36,750,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
41,Andre Iguodala,GSW,"$12,289,544","$11,710,456","$11,131,368",,,,Bird Rights,"$35,131,368"
42,Joakim Noah,CHI,"$12,200,000","$13,400,000",,,,,Bird Rights,"$25,600,000"
43,Eric Bledsoe,PHO,"$12,173,913","$13,086,957","$14,000,001","$14,913,045","$15,826,089",,Bird Rights,"$70,000,000"
44,Nikola Pekovic,MIN,"$12,100,000","$12,100,000","$12,100,000","$11,600,000",,,Bird Rights,"$47,900,000"
45,Kyle Lowry,TOR,"$12,000,000","$12,000,000","$12,000,000","$12,000,000",,,Bird Rights,"$36,000,000"
46,Kevin Garnett,MIN,"$12,000,000",,,,,,Bird Rights,"$12,000,000"
47,David West,IND,"$12,000,000","$12,000,000",,,,,Early Bird Rights,"$12,000,000"
48,Al Horford,ATL,"$12,000,000","$12,000,000",,,,,Bird Rights,"$24,000,000"
49,Nicolas Batum,POR,"$11,765,500","$12,235,750",,,,,Bird Rights,"$23,251,250"
50,Ty Lawson,DEN,"$11,595,506","$12,404,495","$13,213,482",,,,Bird Rights,"$37,213,483"
51,Andrea Bargnani,NYK,"$11,500,000",,,,,,Bird Rights,"$11,500,000"
52,DeAndre Jordan,LAC,"$11,440,124",,,,,,Bird Rights,"$11,440,124"
53,JaVale McGee,PHI,"$11,250,000","$12,000,000",,,,,,"$23,250,000"
54,Larry Sanders,MIL,"$11,000,000","$2,170,000","$2,170,000","$2,170,000","$2,170,000",,,"$15,200,000"
55,Danilo Gallinari,DEN,"$10,854,850","$11,559,225",,,,,Bird Rights,"$22,414,075"
56,Tyreke Evans,NOP,"$10,763,500","$11,227,000","$11,690,500",,,,Bird Rights,"$33,681,000"
57,Stephen Curry,GSW,"$10,629,213","$11,370,786","$12,112,359",,,,Bird Rights,"$34,112,358"
