Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
258,Elfrid Payton,ORL,"$2,397,840","$2,505,720","$2,613,600","$3,332,340",,,1st Round Pick,"$4,903,560"
259,Tobias Harris,ORL,"$2,380,594",,,,,,1st Round Pick,"$2,380,594"
260,Meyers Leonard,POR,"$2,317,920","$3,075,880",,,,,1st Round Pick,"$5,393,800"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
261,Michael Carter-Williams,MIL,"$2,300,040","$2,399,040","$3,183,526",,,,1st Round Pick,"$4,699,080"
262,Doug McDermott,CHI,"$2,277,960","$2,380,440","$2,483,040","$3,294,994",,,1st Round Pick,"$4,658,400"
263,Kenneth Faried,DEN,"$2,249,768","$11,235,955","$12,078,652","$12,921,348","$13,764,045",,1st Round Pick,"$52,249,768"
264,Nick Collison,OKC,"$2,242,003","$3,750,000","$3,750,000",,,,Bird Rights,"$9,742,000"
265,Brendan Haywood,CLE,"$2,213,688","$10,522,500",,,,,Cap Space,"$2,213,688"
266,Reggie Jackson,DET,"$2,204,370",,,,,,1st Round Pick,"$2,204,370"
267,Jeremy Lamb,OKC,"$2,202,000","$3,034,356",,,,,1st Round Pick,"$5,236,356"
268,Steven Adams,OKC,"$2,184,960","$2,279,040","$3,140,517",,,,1st Round Pick,"$4,464,000"
269,Eric Maynor,PHI,"$2,106,720",,,,,,,"$2,106,720"
270,C.J. Watson,IND,"$2,106,720",,,,,,BAE,"$2,106,720"
271,Nate Robinson,BOS,"$2,106,720",,,,,,,"$2,106,720"
272,Vitor Faverani,BOS,"$2,090,000",,,,,,,"$2,090,000"
273,Ramon Sessions,WAS,"$2,077,000","$2,170,465",,,,,BAE,"$4,247,465"
274,Aron Baynes,SAS,"$2,077,000",,,,,,MLE,"$2,077,000"
275,Steve Blake,POR,"$2,077,000","$2,170,465",,,,,BAE,"$2,077,000"
276,Danny Granger,PHO,"$2,077,000","$2,170,465",,,,,BAE,"$2,077,000"
277,Beno Udrih,MEM,"$2,077,000","$2,170,465",,,,,BAE,"$2,077,000"
278,Jordan Farmar,LAC,"$2,077,000",,,,,,,"$2,077,000"
279,Josh Smith,HOU,"$2,077,000",,,,,,BAE,"$2,077,000"
280,Kelly Olynyk,BOS,"$2,075,760","$2,165,160","$3,094,014",,,,1st Round Pick,"$4,240,920"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
281,Zach LaVine,MIN,"$2,055,840","$2,148,360","$2,240,880","$3,202,217",,,1st Round Pick,"$4,204,200"
282,Norris Cole,NOP,"$2,038,206",,,,,,1st Round Pick,"$2,038,206"
283,Cory Joseph,SAS,"$2,023,261",,,,,,1st Round Pick,"$2,023,261"
284,Jimmy Butler,CHI,"$2,008,748",,,,,,1st Round Pick,"$2,008,748"
285,DeJuan Blair,WAS,"$2,000,000","$2,000,000","$2,000,000",,,,Bird Rights,"$4,000,000"
286,John Salmons,PHO,"$2,000,000",,,,,,,"$2,000,000"
287,Elton Brand,ATL,"$2,000,000",,,,,,Cap Space,"$2,000,000"
288,Kent Bazemore,ATL,"$2,000,000","$2,000,000",,,,,,"$4,000,000"
289,John Henson,MIL,"$1,987,320","$2,943,221",,,,,1st Round Pick,"$4,930,541"
290,Shabazz Muhammad,MIN,"$1,971,960","$2,056,920","$3,046,299",,,,1st Round Pick,"$4,028,880"
291,Zoran Dragic,MIA,"$1,962,103","$2,050,397",,,,,Cap Space,"$4,012,500"
292,T.J. Warren,PHO,"$1,953,120","$2,041,080","$2,128,920","$3,152,931",,,1st Round Pick,"$3,994,200"
293,Maurice Harkless,ORL,"$1,887,840","$2,894,059",,,,,1st Round Pick,"$4,781,899"
294,Giannis Antetokounmpo,MIL,"$1,873,200","$1,953,960","$2,995,421",,,,1st Round Pick,"$3,827,160"
295,Adreian Payne,MIN,"$1,855,320","$1,938,840","$2,022,240","$3,100,094",,,1st Round Pick,"$3,794,160"
296,Jeff Ayres,SAS,"$1,828,750",,,,,,MLE,"$1,828,750"
297,Anthony Randolph,ORL,"$1,825,359",,,,,,,"$1,825,359"
298,Jeremy Evans,UTA,"$1,794,871",,,,,,Early Bird Rights,"$1,794,871"
299,Joffrey Lauvergne,DEN,"$1,790,280","$1,709,720","$1,709,720","$2,136,475",,,MLE,"$3,500,000"
300,Reggie Evans,SAC,"$1,768,653",,,,,,Non Bird Rights,"$1,768,653"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
301,Lucas Nogueira,TOR,"$1,762,680","$1,842,000","$1,921,320","$2,947,305",,,1st Round Pick,"$3,604,680"
302,Jusuf Nurkic,DEN,"$1,762,680","$1,842,000","$1,921,320","$2,947,305",,,1st Round Pick,"$3,604,680"
303,Luigi Datome,BOS,"$1,750,000",,,,,,Cap Space,"$1,750,000"
304,Tyler Zeller,BOS,"$1,703,760","$2,616,975",,,,,1st Round Pick,"$4,320,735"
305,Dennis Schroder,ATL,"$1,690,680","$1,763,400","$2,708,582",,,,1st Round Pick,"$3,454,080"
306,James Young,BOS,"$1,674,480","$1,749,840","$1,825,200","$2,803,507",,,1st Round Pick,"$3,424,320"
307,Pablo Prigioni,HOU,"$1,662,961","$1,734,572",,,,,MLE,"$3,544,311"
308,Ryan Kelly,LAL,"$1,650,000","$1,724,250",,,,,Room Exception,"$3,374,250"
309,Terrence Jones,HOU,"$1,618,680","$2,489,530",,,,,1st Round Pick,"$4,108,210"
310,Shane Larkin,NYK,"$1,606,080","$1,675,320","$2,576,642",,,,1st Round Pick,"$1,606,080"
311,Tyler Ennis,MIL,"$1,590,720","$1,662,360","$1,733,880","$2,666,707",,,1st Round Pick,"$3,253,080"
312,Andrew Nicholson,ORL,"$1,545,840","$2,380,594",,,,,1st Round Pick,"$3,926,434"
313,Sergey Karasev,BRK,"$1,533,840","$1,599,840","$2,463,754",,,,1st Round Pick,"$1,533,840"
314,Gary Harris,DEN,"$1,519,200","$1,587,480","$1,655,880","$2,550,055",,,1st Round Pick,"$3,106,680"
315,Ronny Turiaf,PHI,"$1,500,000",,,,,,,"$1,500,000"
316,Evan Fournier,ORL,"$1,483,920","$2,288,205",,,,,1st Round Pick,"$3,772,125"
317,Donatas Motiejunas,HOU,"$1,483,920","$2,288,205",,,,,1st Round Pick,"$3,772,125"
318,Tony Snell,CHI,"$1,472,400","$1,535,880","$2,368,327",,,,1st Round Pick,"$3,008,280"
319,Bruno Caboclo,TOR,"$1,458,360","$1,524,000","$1,589,640","$2,451,225",,,1st Round Pick,"$2,982,360"
320,Rasual Butler,WAS,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
321,Matt Bonner,SAS,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
322,Willie Green,ORL,"$1,448,490",,,,,,Non Bird Rights,"$1,448,490"
323,Hedo Turkoglu,LAC,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
324,Leandro Barbosa,GSW,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
325,Shawn Marion,CLE,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
326,James Jones,CLE,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
327,Jannero Pargo,CHO,"$1,448,490",,,,,,,"$1,448,490"
328,Nazr Mohammed,CHI,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
329,Drew Gooden,WAS,"$1,448,000",,,,,,Minimum Salary,"$1,448,000"
330,Jared Sullinger,BOS,"$1,424,520","$2,269,260",,,,,1st Round Pick,"$3,693,780"
331,Gorgui Dieng,MIN,"$1,413,480","$1,474,440","$2,348,783",,,,1st Round Pick,"$2,887,920"
332,Mitch McGary,OKC,"$1,400,040","$1,463,040","$1,526,040","$2,430,981",,,1st Round Pick,"$2,863,080"
333,Victor Claver,DEN,"$1,370,000",,,,,,,"$1,370,000"
334,Mason Plumlee,BRK,"$1,357,080","$1,415,520","$2,328,530",,,,1st Round Pick,"$1,357,080"
335,Jordan Adams,MEM,"$1,344,120","$1,404,600","$1,465,080","$2,410,057",,,1st Round Pick,"$2,748,720"
336,Ryan Hollins,SAC,"$1,316,809",,,,,,Minimum Salary,"$1,316,809"
337,Ronnie Price,LAL,"$1,316,809",,,,,,Minimum Salary,"$1,316,809"
338,Francisco Garcia,HOU,"$1,316,809",,,,,,,"$1,316,809"
339,John Jenkins,ATL,"$1,312,920","$2,228,025",,,,,1st Round Pick,"$1,312,920"
340,Jose Barea,DAL,"$1,310,286",,,,,,Minimum Salary,"$1,310,286"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
341,Solomon Hill,IND,"$1,302,840","$1,358,880","$2,306,019",,,,1st Round Pick,"$2,661,720"
342,Rodney Hood,UTA,"$1,290,360","$1,348,440","$1,406,520","$2,386,864",,,1st Round Pick,"$2,638,800"
343,Alan Anderson,BRK,"$1,276,061","$1,333,484",,,,,Non Bird rights,"$1,276,061"
344,Tim Hardaway,NYK,"$1,250,640","$1,304,520","$2,281,605",,,,1st Round Pick,"$2,555,160"
345,Pero Antic,ATL,"$1,250,000",,,,,,Cap Space,"$1,250,000"
346,Shabazz Napier,MIA,"$1,238,640","$1,294,440","$1,350,120","$2,361,360",,,1st Round Pick,"$2,533,080"
347,Rodney Stuckey,IND,"$1,227,985",,,,,,Minimum Salary,"$1,227,985"
348,Aaron Gray,DET,"$1,227,985","$1,356,146",,,,,,"$1,227,985"
349,Shawne Williams,DET,"$1,227,985",,,,,,Minimum Salary,"$1,227,985"
350,Shavlik Randolph,DEN,"$1,227,985",,,,,,,"$1,227,985"
351,Tony Wroten,PHI,"$1,210,080","$2,179,354",,,,,1st Round Pick,"$3,389,434"
352,Reggie Bullock,PHO,"$1,200,720","$1,252,440","$2,255,644",,,,1st Round Pick,"$2,453,160"
353,Clint Capela,HOU,"$1,189,200","$1,242,720","$1,296,240","$2,334,520",,,1st Round Pick,"$2,431,920"
354,Miles Plumlee,MIL,"$1,169,880","$2,109,294",,,,,1st Round Pick,"$3,279,174"
355,Andre Roberson,OKC,"$1,160,880","$1,210,800","$2,183,072",,,,1st Round Pick,"$2,371,680"
356,P.J. Hairston,CHO,"$1,149,720","$1,201,440","$1,253,160","$2,259,447",,,1st Round Pick,"$2,351,160"
357,Brandon Rush,GSW,"$1,145,685","$1,270,964",,,,,Minimum Salary,"$1,145,685"
358,Cartier Martin,DET,"$1,145,685","$1,270,964",,,,,Minimum Salary,"$1,145,685"
359,Aaron Brooks,CHI,"$1,145,685",,,,,,Minimum Salary,"$1,145,685"
360,Arnett Moultrie,NYK,"$1,136,160",,,,,,,"$1,136,160"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
361,Perry Jones,OKC,"$1,129,200","$2,038,206",,,,,1st Round Pick,"$3,167,406"
362,Rudy Gobert,UTA,"$1,127,400","$1,175,880","$2,121,288",,,,1st Round Pick,"$1,127,400"
363,Marquis Teague,PHI,"$1,120,920",,,,,,,"$1,120,920"
364,Festus Ezeli,GSW,"$1,112,880","$2,008,748",,,,,1st Round Pick,"$3,121,628"
365,Archie Goodwin,PHO,"$1,112,280","$1,160,160","$2,094,089",,,,1st Round Pick,"$2,272,420"
366,C.J. Wilcox,LAC,"$1,109,760","$1,159,680","$1,209,680","$2,183,328",,,1st Round Pick,"$2,269,440"
367,Nemanja Nedovic,GSW,"$1,104,240",,,,,,,"$1,104,240"
368,Damjan Rudez,IND,"$1,100,000","$1,149,500","$1,199,000",,,,MLE,"$2,249,500"
369,Kyle Anderson,SAS,"$1,093,680","$1,142,879","$1,192,080","$2,151,704",,,1st Round Pick,"$2,236,559"
370,Kyle Singler,OKC,"$1,090,000",,,,,,MLE,"$1,090,000"
371,Xavier Henry,LAL,"$1,082,000",,,,,,,"$1,082,000"
372,Austin Daye,SAS,"$1,063,384",,,,,,,"$1,063,384"
373,Omri Casspi,SAC,"$1,063,384",,,,,,Minimum Salary,"$1,063,384"
374,Wayne Ellington,LAL,"$1,063,384",,,,,,Minimum Salary,"$1,063,384"
375,Robert Covington,PHI,"$1,000,000","$1,000,000","$1,015,696","$1,087,745",,,,"$1,000,000"
376,John Salmons,ATL,"$1,000,000",,,,,,,"$1,000,000"
377,Garrett Temple,WAS,"$981,084","$1,100,602",,,,,Minimum Salary,"$981,084"
378,Greg Stiemsma,TOR,"$981,084",,,,,,Minimum Salary,"$981,084"
379,Ish Smith,PHI,"$981,084",,,,,,Minimum Salary,"$981,084"
380,Alexis Ajinca,NOP,"$981,084",,,,,,Minimum Salary,"$981,084"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
381,Luke Babbitt,NOP,"$981,084",,,,,,Minimum Salary,"$981,084"
382,Ed Davis,LAL,"$981,084","$1,063,384",,,,,Minimum Salary,"$981,084"
383,Wesley Johnson,LAL,"$981,084",,,,,,Minimum Salary,"$981,084"
384,Ekpe Udoh,LAC,"$981,084",,,,,,Minimum Salary,"$981,084"
385,Ish Smith,HOU,"$981,084",,,,,,,"$981,084"
386,Al-Farouq Aminu,DAL,"$981,084","$1,100,602",,,,,Minimum Salary,"$981,084"
387,Jon Leuer,MEM,"$967,500","$1,035,000",,,,,Early Bird Rights,"$967,500"
388,Jimmer Fredette,NOP,"$948,163",,,,,,Minimum Salary,"$948,163"
389,Lavoy Allen,IND,"$948,163",,,,,,Minimum Salary,"$948,163"
390,Donald Sloan,IND,"$948,163",,,,,,Minimum Salary,"$948,163"
391,Joey Dorsey,HOU,"$948,163","$1,015,421",,,,,Minimum Salary,"$1,963,584"
392,Greg Smith,DAL,"$948,163",,,,,,Minimum Salary,"$948,163"
393,E'Twaun Moore,CHI,"$948,163","$1,015,421",,,,,Minimum Salary,"$948,163"
394,Wayne Ellington,SAC,"$923,780","$923,670","$923,670",,,,,
395,Diante Garrett,POR,"$915,243","$981,348",,,,,,"$30,000"
396,Alonzo Gee,POR,"$1,063,384",,,,,,Minimum Salary,"$1,063,384"
397,Kendall Marshall,PHO,"$915,243",,,,,,,"$915,243"
398,Henry Sims,PHI,"$915,243",,,,,,Minimum Salary,"$915,243"
399,Kyle O'Quinn,ORL,"$915,243",,,,,,MLE,"$915,243"
400,Sebastian Telfair,OKC,"$915,243",,,,,,,"$915,243"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
401,Cole Aldrich,NYK,"$981,084",,,,,,Minimum Salary,"$915,243"
402,Quincy Acy,NYK,"$915,243",,,,,,Cap Space,"$915,243"
403,Khris Middleton,MIL,"$915,243",,,,,,MLE,"$915,243"
404,Robert Sacre,LAL,"$915,243","$981,348",,,,,Non Bird Rights,"$915,243"
405,Glen Davis,LAC,"$1,227,985",,,,,,Minimum Salary,"$1,227,985"
406,Jeff Adrien,HOU,"$981,084",,,,,,,"$981,084"
407,Patrick Beverley,HOU,"$915,243",,,,,,Cap Space,"$915,243"
408,Draymond Green,GSW,"$915,243",,,,,,MLE,"$915,243"
409,Will Barton,DEN,"$915,243",,,,,,Cap Space,"$915,243"
410,Bernard James,DAL,"$915,243",,,,,,,"$915,243"
411,Richard Jefferson,DAL,"$1,448,490",,,,,,Minimum Salary,"$1,448,490"
412,Charlie Villanueva,DAL,"$1,316,809",,,,,,Minimum Salary,"$1,316,809"
413,Jeffery Taylor,CHO,"$915,243",,,,,,Minimum Salary,"$915,243"
414,Jason Maxiell,CHO,"$1,316,809",,,,,,Minimum Salary,"$1,316,809"
415,Jerome Jordan,BRK,"$915,243",,,,,,Minimum Salary,"$915,243"
416,Chris Douglas-Roberts,BOS,"$915,243",,,,,,,"$915,243"
417,Jae Crowder,BOS,"$915,243",,,,,,Cap Space,"$915,243"
418,Jerami Grant,PHI,"$884,879","$845,059","$980,431","$1,051,245",,,Draft Pick,"$1,729,938"
419,Devyn Marble,ORL,"$884,879","$845,059","$980,431",,,,,"$884,879"
420,Joe Harris,CLE,"$884,879","$845,059","$980,439",,,,,"$1,729,938"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
421,Robbie Hummel,MIN,"$880,000",,,,,,,"$880,000"
422,Allen Crabbe,POR,"$862,000","$947,276",,,,,Cap Space,"$862,000"
423,Dante Cunningham,NOP,"$831,942",,,,,,,"$831,942"
424,Damien Inglis,MIL,"$820,000","$855,000","$980,431",,,,Cap Space,"$1,675,000"
425,Carrick Felix,UTA,"$816,482",,,,,,,"$816,482"
426,Ray McCallum,SAC,"$816,482","$947,276",,,,,Cap Space,"$816,482"
427,Tony Mitchell,PHO,"$816,482",,,,,,,"$816,482"
428,Isaiah Canaan,PHI,"$816,482","$947,276",,,,,Cap Space,"$1,574,303"
429,Hollis Thompson,PHI,"$816,482","$947,276","$1,015,696",,,,Cap Space,"$816,482"
430,Dewayne Dedmon,ORL,"$816,482","$947,278",,,,,Minimum Salary,"$816,482"
431,Jeff Withey,NOP,"$816,482",,,,,,Minimum Salary,"$816,482"
432,Justin Hamilton,MIN,"$816,482",,,,,,Minimum Salary,"$816,482"
433,Nate Wolters,MIL,"$816,482",,,,,,,"$816,482"
434,Nick Calathes,MEM,"$816,482",,,,,,Minimum Salary,"$816,482"
435,Ognjen Kuzmic,GSW,"$816,482",,,,,,Minimum Salary,"$816,482"
436,Justin Holiday,GSW,"$816,482",,,,,,Minimum Salary,"$816,482"
437,Ian Clark,DEN,"$816,482",,,,,,Minimum Salary,"$816,482"
438,Gal Mekel,DAL,"$816,482","$947,276",,,,,,"$1,763,758"
439,Ricky Ledo,DAL,"$816,482","$947,276","$1,015,696",,,,,"$816,482"
440,Matthew Dellavedova,CLE,"$816,482",,,,,,Minimum Salary,"$816,482"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
441,Troy Daniels,CHO,"$816,482","$947,276",,,,,Minimum Salary,"$1,763,758"
442,Phil Pressey,BOS,"$816,482","$947,276",,,,,Mini MLE,"$816,482"
443,Mike Muscala,ATL,"$816,482","$947,276",,,,,Minimum Salary,"$816,482"
444,Grant Jerrett,UTA,"$816,481","$947,276","$1,015,696","$1,087,745",,,Non Bird Rights,"$1,763,757"
445,Michael Beasley,PHO,"$777,778","$777,778","$777,778",,,,,
446,Hassan Whiteside,MIA,"$769,881","$981,348",,,,,Minimum Salary,"$769,881"
447,Jarnell Stokes,MEM,"$725,000","$845,059","$980,431",,,,MLE,"$1,570,059"
448,Darius Morris,BRK,"$702,756",,,,,,Minimum Salary,
449,Spencer Dinwiddie,DET,"$700,000","$845,059","$980,431",,,,Cap Space,"$1,545,059"
450,Carlos Delfino,LAC,"$650,000","$650,000","$650,000","$650,000","$650,000",,,
451,Marcus Camby,TOR,"$646,609",,,,,,,"$646,609"
452,Gal Mekel,NOP,"$633,974",,,,,,,
453,Johnny O'Bryant,MIL,"$600,000","$845,059","$980,431",,,,Cap Space,"$1,445,059"
454,Joe Ingles,UTA,"$507,336",,,,,,Minimum Salary,
455,Eric Moreland,SAC,"$507,336","$845,059","$980,431",,,,MLE,"$200,000"
456,Glenn Robinson,PHI,"$507,336",,,,,,Minimum Salary,"$507,336"
457,JaKarr Sampson,PHI,"$507,336","$845,059","$980,431","$1,051,245",,,Cap Space,"$507,336"
458,Cleanthony Early,NYK,"$507,336","$845,059",,,,,Minimum Salary,"$1,352,395"
459,Travis Wear,NYK,"$507,336",,,,,,Minimum Salary,"$62,000"
460,Tyler Johnson,MIA,"$507,336","$845,059",,,,,,"$334,637"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
461,James Ennis,MIA,"$507,336","$845,059","$980,431",,,,Cap Space,"$507,336"
462,Russ Smith,MEM,"$816,482","$816,482","$816,482",,,,Minimum Salary,"$507,336"
463,Jordan Clarkson,LAL,"$507,336","$845,059",,,,,Minimum Salary,"$507,336"
464,Tarik Black,LAL,"$507,336","$845,059",,,,,Minimum Salary,"$507,336"
465,Shayne Whittington,IND,"$507,336",,,,,,,"$507,336"
466,Nick Johnson,HOU,"$507,336","$845,059","$980,431",,,,Cap Space,"$2,332,826"
467,K.J. McDaniels,HOU,"$507,336",,,,,,Minimum Salary,"$507,336"
468,Erick Green,DEN,"$507,336","$845,059","$980,431",,,,Minimum Salary,"$507,336"
469,Dwight Powell,DAL,"$507,336","$845,059",,,,,Minimum Salary,"$507,336"
470,Cameron Bairstow,CHI,"$507,336","$845,059","$980,431",,,,Cap Space,"$932,336"
471,Cory Jefferson,BRK,"$507,336","$845,059",,,,,Minimum Salary,"$507,336"
472,Markel Brown,BRK,"$507,336","$845,059",,,,,Minimum Salary,"$507,336"
473,Amar'e Stoudemire,DAL,"$485,670",,,,,,Minimum Salary,"$485,670"
474,Malcolm Thomas,PHI,"$474,000",,,,,,,"$474,000"
475,Fab Melo,MEM,"$437,080","$437,080",,,,,,"$874,160"
476,Kendrick Perkins,CLE,"$434,547",,,,,,Minimum Salary,"$434,547"
477,Kenyon Martin,MIL,"$414,551",,,,,,,"$170,410"
478,Louis Amundson,NYK,"$409,167",,,,,,Minimum Salary,
479,Lance Thomas,NYK,"$403,784",,,,,,Minimum Salary,
480,Glen Rice,WAS,"$400,000",,,,,,,"$400,000"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
481,Pierre Jackson,PHI,"$400,000",,,,,,,"$400,000"
482,Darius Miller,NOP,"$400,000",,,,,,,"$400,000"
483,Dahntay Jones,LAC,"$387,632",,,,,,Minimum Salary,"$387,632"
484,Ronald Roberts Jr.,PHI,"$373,041",,,,,,,
485,Richard Hamilton,CHI,"$333,333","$333,333",,,,,,"$666,666"
486,Michael Beasley,MIA,"$330,226","$1,270,964",,,,,Minimum Salary,"$330,226"
487,Miroslav Raduljica,LAC,"$300,000","$300,000","$300,000","$300,000","$300,000",,,
488,Lorenzo Brown,MIN,"$283,367","$947,276",,,,,Minimum Salary,"$283,367"
489,Toney Douglas,NOP,"$268,974",,,,,,Minimum Salary,"$268,974"
490,Toure' Murry,UTA,"$250,000",,,,,,,"$250,000"
491,Elijah Millsap,UTA,"$241,731","$845,059","$980,431",,,,Minimum Salary,"$59,686"
492,Bernard James,DAL,"$236,866",,,,,,Minimum Salary,"$236,866"
493,Langston Galloway,NYK,"$235,762","$845,059",,,,,Minimum Salary,"$235,762"
494,Jack Cooley,UTA,"$187,357","$845,059",,,,,Minimum Salary,"$187,357"
495,James Michael McAdoo,GSW,"$167,122","$845,059",,,,,Minimum Salary,"$267,122"
496,Chris Johnson,UTA,"$166,897","$981,348",,,,,Minimum Salary,"$166,897"
497,Jamaal Franklin,MEM,"$163,296","$163,296","$163,296","$163,296","$163,296",,,"$816,482"
498,Nate Robinson,LAC,"$154,918",,,,,,,"$154,918"
499,Bryce Cotton,UTA,"$152,200","$845,059",,,,,Minimum Salary,"$152,200"
500,Jordan Hamilton,LAC,"$150,591","$1,015,420",,,,,Minimum Salary,"$150,591"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
501,Kadeem Batts,ORL,"$150,000",,,,,,,"$150,000"
502,Akil Mitchell,HOU,"$150,000",,,,,,,"$150,000"
503,Robert Covington,HOU,"$150,000",,,,,,,"$150,000"
504,Quincy Miller,DEN,"$150,000",,,,,,,"$150,000"
505,Eric Griffin,DAL,"$150,000",,,,,,,"$150,000"
506,Will Bynum,WAS,"$144,468",,,,,,Minimum Salary,"$144,468"
507,Reggie Williams,SAS,"$125,104",,,,,,Minimum Salary,"$62,552"
508,Austin Daye,ATL,"$125,104","$1,185,784",,,,,Minimum Salary,"$125,104"
509,John Lucas,DET,"$123,827",,,,,,Minimum Salary,"$123,827"
510,Henry Walker,MIA,"$115,422",,,,,,Minimum Salary,"$115,422"
511,Quincy Miller,SAC,"$107,676",,,,,,,"$107,676"
512,Earl Barron,PHO,"$107,676",,,,,,Minimum Salary,"$144,468"
513,Elliot Williams,NOP,"$107,676",,,,,,,"$53,838"
514,Quincy Miller,DET,"$107,676",,,,,,Minimum Salary,"$107,676"
515,Chris Johnson,MIL,"$107,674",,,,,,,"$107,676"
516,Peyton Siva,ORL,"$100,000",,,,,,,"$100,000"
517,Seth Curry,ORL,"$100,000",,,,,,,"$100,000"
518,Patric Young,NOP,"$100,000",,,,,,,"$100,000"
519,Erik Murphy,BOS,"$100,000",,,,,,,"$100,000"
520,Miroslav Raduljica,MIN,"$96,100",,,,,,,"$96,100"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
521,Toure' Murry,WAS,"$96,056",,,,,,,"$96,056"
522,Ricky Ledo,NYK,"$96,056",,,,,,Minimum Salary,"$96,056"
523,Nate Wolters,NOP,"$96,056",,,,,,Minimum Salary,"$95,056"
524,Jarvis Varnado,PHI,"$75,000",,,,,,,"$75,000"
525,Drew Crawford,ORL,"$75,000",,,,,,,"$75,000"
526,Tyrus Thomas,MEM,"$72,234",,,,,,,"$72,234"
527,Dee Bost,UTA,"$65,000",,,,,,,"$65,000"
528,Dee Bost,UTA,"$65,000",,,,,,,"$65,000"
529,Kevin Murphy,UTA,"$65,000",,,,,,,"$65,000"
530,Alex Kirk,NYK,"$65,000",,,,,,,"$65,000"
531,A.J. Price,PHO,"$62,552",,,,,,,"$62,552"
532,Earl Clark,BRK,"$62,552","$1,185,784",,,,,Minimum Salary,"$62,552"
533,Tim Frazier,PHI,"$59,686",,,,,,,"$59,686"
534,Larry Drew,PHI,"$59,686",,,,,,,"$59,686"
535,Jorge Gutierrez,MIL,"$59,686",$1,,,,,Minimum Salary,"$59,686"
536,JaMychal Green,MEM,"$59,686",,,,,,Minimum Salary,"$59,686"
537,Andre Dawkins,BOS,"$59,686",,,,,,,"$59,686"
538,Lester Hudson,LAC,"$55,774","$1,015,421",,,,,Minimum Salary,"$55,774"
539,Elliot Williams,UTA,"$53,838",,,,,,,"$53,838"
540,Elliot Williams,CHO,"$53,838",,,,,,,"$53,838"
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
541,Tim Frazier,POR,"$50,734","$845,059",,,,,Minimum Salary,"$50,734"
542,Bryce Cotton,SAS,"$50,000",,,,,,,"$50,000"
543,Khem Birch,MIA,"$50,000",,,,,,,"$50,000"
544,Seth Curry,PHO,"$48,028",,,,,,,"$48,028"
545,Dwight Buycks,LAL,"$48,028",,,,,,,"$48,028"
546,Chris Babb,BOS,"$48,028","$947,276",,,,,Minimum Salary,"$48,028"
